Date,Protein,Fat,Carbohydrate
2024-01-18,30,40,30
2024-01-18,70,20,10
2024-01-18,35,25,40
2024-01-21,30,40,30
2024-01-21,35,25,40
2024-01-21,30,40,30
2024-01-21,35,25,40
2024-01-25,35,25,40
2024-01-25,35,25,40
2024-01-25,35,25,40
2024-01-25,30,40,30
2024-01-25,70,20,10
2024-01-25,30,40,30
2024-01-25,70,20,10
2024-01-25,35,25,40
2024-02-02,30,40,30
2024-02-02,35,25,40
2024-02-02,30,40,30
2024-02-02,35,25,40
2024-02-06,35,25,40
2024-02-06,35,25,40
2024-02-06,35,25,40
2024-02-06,30,40,30
2024-02-10,70,20,10
2024-02-10,30,40,30
2024-02-10,70,20,10
2024-02-10,35,25,40
2024-02-10,30,40,30
2024-02-15,35,25,40
2024-02-16,30,40,30
2024-02-17,35,25,40
2024-02-18,35,25,40
2024-02-19,35,25,40
2024-02-20,35,25,40
2024-02-21,30,40,30
2024-02-22,70,20,10
2024-02-23,30,40,30
2024-02-24,70,20,10
2024-02-25,35,25,40
2024-02-26,30,40,30
2024-02-27,35,25,40
2024-02-28,30,40,30
2024-02-29,35,25,40
2024-03-01,35,25,40
2024-03-02,35,25,40
2024-03-03,35,25,40
2024-03-04,30,40,30
2024-03-05,70,20,10
2024-03-06,30,40,30
2024-03-07,70,20,10
2024-03-08,35,25,40
2024-03-09,30,40,30
2024-03-10,35,25,40
2024-03-11,30,40,30
2024-03-12,35,25,40
2024-03-13,35,25,40
2024-03-14,35,25,40
2024-03-15,35,25,40
2024-03-16,30,40,30
2024-03-17,70,20,10
2024-03-18,30,40,30
2024-03-19,70,20,10
2024-03-20,35,25,40
2024-03-21,30,40,30
2024-03-22,35,25,40
2024-03-23,30,40,30
2024-03-24,35,25,40
2024-03-25,35,25,40
2024-03-26,35,25,40
2024-03-27,35,25,40
2024-03-28,30,40,30
2024-03-29,70,20,10
2024-03-30,30,40,30
2024-03-31,70,20,10
2024-04-01,35,25,40
2024-04-02,30,40,30
2024-04-03,35,25,40
2024-04-04,30,40,30
2024-04-05,35,25,40
2024-04-06,35,25,40
2024-04-07,35,25,40
2024-04-08,35,25,40
2024-04-09,30,40,30
2024-04-10,70,20,10
2024-04-11,30,40,30
2024-04-12,70,20,10
2024-04-13,35,25,40
2024-04-14,30,40,30
2024-04-15,35,25,40
2024-04-16,30,40,30
2024-04-17,35,25,40
2024-04-18,35,25,40
2024-04-19,35,25,40
2024-04-20,35,25,40
2024-04-21,30,40,30
2024-04-22,70,20,10
2024-04-23,30,40,30
2024-04-24,70,20,10
2024-04-25,35,25,40
2024-04-26,30,40,30
2024-04-27,35,25,40
2024-04-28,30,40,30
2024-04-29,35,25,40
2024-04-30,35,25,40
2024-05-01,35,25,40
2024-05-02,35,25,40
2024-05-03,30,40,30
2024-05-04,70,20,10
2024-05-05,30,40,30
2024-05-06,70,20,10
2024-05-07,35,25,40
2024-05-08,30,40,30
2024-05-09,35,25,40
2024-05-10,30,40,30
2024-05-11,35,25,40
2024-05-12,35,25,40
2024-05-13,35,25,40
2024-05-14,35,25,40
2024-05-15,30,40,30
2024-05-16,70,20,10
2024-05-17,30,40,30
2024-05-18,70,20,10
2024-05-19,35,25,40
2024-05-20,30,40,30
2024-05-21,35,25,40
2024-05-22,30,40,30
2024-05-23,35,25,40
2024-05-24,35,25,40
2024-05-25,35,25,40
2024-05-25,35,25,40
2024-05-25,30,40,30
2024-05-26,70,20,10
2024-05-26,30,40,30
2024-05-26,70,20,10
2024-05-27,35,25,40
2024-05-27,30,40,30
2024-05-27,35,25,40
2024-05-28,30,40,30
2024-05-28,35,25,40
2024-05-28,35,25,40
2024-05-29,35,25,40
2024-05-29,35,25,40
2024-05-29,30,40,30
2024-05-30,70,20,10
2024-05-30,30,40,30
2024-05-30,70,20,10
2024-05-31,35,25,40
2024-05-31,30,40,30
2024-05-31,35,25,40
2024-06-01,35,25,40
2024-06-02,35,25,40
2024-06-03,35,25,40
2024-06-04,35,25,40
2024-06-05,35,25,40
2024-06-06,35,25,40
2024-06-07,35,25,40
2024-06-08,35,25,40
2024-06-09,35,25,40
2024-06-10,35,25,40
2024-06-11,35,25,40
2024-06-12,35,25,40
2024-06-13,35,25,40
2024-06-14,35,25,40
2024-06-14,35,25,40
2024-06-14,10,35,45
2024-06-14,70,20,10
2024-06-15,70,20,10
2024-06-15,76,28,43
2024-06-15,70,20,10
2024-06-15,65,20,10
